,,,,,,,,,,,,,BPMS Components (For Blockchain Tasks),,,,,Resource Allocation,,,,,,,,On-Chain Integrity,,,,Evaluatiom Metrics,,,,,,,,
FALSE,,,2020,"U Sengupta, H Kim","Business Process Transformation in Natural Resources Development Using Blockchain: Indigenous Entrepreneurship, Trustless Technology, and Rebuilding Trust",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,TG Shul'zhenko,Methodological approach to the reengineering of logistics business processes in the transport chains with the implementation of smart contracts,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"X Zhang, T Liu, A Rahman",Leveraging blockchain for prefabricated construction supply chain management–A conceptual workflow framework,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,C Udokwu,Securing Cross-Organizational Business Process with Blockchain Enabled Smart Contract,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"S Patnaik, TS Wang, T Shen, SK Panigrahi",Blockchain Technology and Innovations in Business Processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"I Garfatta, K Klai, M Graïet, W Gaaloul",Model Checking of Solidity Smart Contracts Adopted for Business Processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"JG Enríquez, S Debois, P Fettke, P Plebani…","Business Process Management: Blockchain and Robotic Process Automation Forum: BPM 2021 Blockchain and RPA Forum, Rome, Italy, September 6-10 …",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,SMK Sigurjonsson,Blockchain Use for Data Provenance in Scientific Workflow,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,26,evermannWorkflowManagementBFT2020a,2020,"J Evermann, H Kim",Workflow Management on BFT Blockchains,Workflow Management on BFT Blockchains,,,MDE,BFT-Smart-based P2P network,Petri net,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Naive Routing,FALSE,FALSE,TRUE,TRUE,TRUE,Assertion,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Adoptes existing WfMS system locally and connects them using a custom BFT-based blockchain.,TRUE
FALSE,,,2021,EE Maggini,RESHAPING ORGANIZATIONAL PROCESSES AND WORKFLOWS THROUGH INTEGRATION OF BLOCKCHAIN TECHNOLOGY,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,JL Tilbury,A Business Process Model for Blockchain-based South African Real Estate Transactions,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"M Jin, C Dou, P Pan, M Wan, B Sun…",A Blockchain-Based IoT Workflow Management Approach,,10.1007/978-981-15-7530-3_48,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,27,naganoRELIABLEARCHITECTURECROSS2020a,2020,"H Nagano, T Shimosawa, A Shimamura…",RELIABLE ARCHITECTURE OF CROSS ORGANIZATIONAL WORKFLOW MANAGEMENT SYSTEM ON BLOCKCHAIN.,RELIABLE ARCHITECTURE OF CROSS ORGANIZATIONAL WORKFLOW MANAGEMENT SYSTEM ON BLOCKCHAIN.,,,Manual,Hyperledger Chaincode,Undescribed,,FALSE,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,Naive Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Assertion,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Journal paper of ID 29, does not introudce anything new. Evaluates based on a security analysis (non-formal).",FALSE
FALSE,,,2021,OL Pintado,Challenges of Blockchain-Based Collaborative Business Processes: An Overview of the Caterpillar System,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"MS Rahman, I Khalil, A Bouras",A Framework for Modelling Blockchain based Supply Chain Management System to ensure soundness of Smart Contract Workflow,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,E Pedercini,The impact of blockchain and distributed ledger technologies on business processes. An analysis of implementations and use cases in different sectors,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"M Jurgelaitis, R Butkienė, E Vaičiukynas…",Modelling principles for blockchain-based implementation of business or scientific processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,28,brahemRunningTransactionalBusiness2020a,2020,"A Brahem, N Messai, Y Sam, S Bhiri…",Running transactional business processes with blockchain's smart contracts,Running transactional business processes with blockchain's smart contracts,,Caterpillar,MDE,Ethereum Smart Contract,"Transactional Business Processes, BPMN Process diagram","Swimlane, Task, User, Script, Service Task, Parallel and Sequential, X, +, Event-based, Message and Signal Events, Throwing and Catching, Boundary interrupting and noninterrupting. ",TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,,Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Assertion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Extension of Caterpillar for Transactional Business Processes. The implementation is not well explained and the linked source code is not available (404). Evaluation is only by discussing the implementation feasability. ,TRUE
FALSE,,,2020,J Köpke,Towards Modeling Privity and Enforceability Requirements for BPM based Smart Contracts,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"V Vasiuta, M Buniak",Blockchain technology in the workflow system of higher education institutions,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2017,"M Kherbouche, G Pisoni, B Molnár","Model to Program and Blockchain Approaches for Business Processes and Workflows in Finance. Appl. Syst. Innov. 2022, 1, 0",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,"J Evermann, H Kim",SMaRt Blockchain Distributed Workflow Management,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"F Corradini, A Marcelletti, A Morichetta, A Polini, B Re…",ChorChain: A Model-Driven Framework for Choreography-Based Systems Using Blockchain,ChorChain: A Model-Driven Framework for Choreography-Based Systems Using Blockchain,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,"DV Lyridis, GO Andreadis, C Papaleonidas, V Tsiampa",A NOVEL METHODOLOGY USING BPM TO ASSESS THE IMPLEMENTATION OF BLOCKCHAIN IN THE MIDSTREAM LNG SUPPLY CHAIN,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"D Aloini, E Benevento, A Stefanini…",Blockchain-Driven Process Innovation in Healthcare Ecosystems: a Business Process Management Capabilities Analysis,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"V Wattana, XL Da, B Zhuming…",Correction to: Blockchain-based business process management (BPM) framework for service composition in industry 4.0,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,M Ramachandran,Application of Business Process Modelling and Blockchain Technology for Financial Cloud,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,29,naganoBLOCKCHAINBASEDCROSSa,2020,"H Nagano, T Shimosawa, A Shimamura, N Komoda",BLOCKCHAIN BASED CROSS ORGANIZATIONAL WORKFLOW MANAGEMENT SYSTEM,BLOCKCHAIN BASED CROSS ORGANIZATIONAL WORKFLOW MANAGEMENT SYSTEM,,,Manual,Hyperledger Chaincode,Undescribed,,FALSE,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,Naive Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Assertion,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,See ID 27,TRUE
FALSE,,,2019,M La Rosa,The Rise of Enforceable Business Processes from the Hashes of Blockchain-Based Smart Contracts,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,"S MAHGOUB, R ALMOHAMMADI, M ALDRAMLEY",ANOVEL FRAMEWORK FOR BLOCKCHAIN ENABLED BUSINESS PROCESS,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,P Alvina,Blockchain Technology Applications in the Business Processes of Logistics Enterprises: A study to explore improvements in Logistics Services Quality (LSQ) …,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,B van Rossum,A blockchain-based business process to securitise mortgages,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,M Melchiori,A Blockchain-Based Approach for Trust Management in Collaborative Business Processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,V Pungpapong,Blockchain and Internet of Things for Modern Business Process in Digital Economy–The State of The Art,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,S Kolhe,Blockchain Based Smart Contracts for Business Process Automation,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,"S Chehbi-Gamoura, R Derrouiche, HI Koruca",Joining the Blockchain to Big Data for Intelligent Business Process Management,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"P Rimba, AB Tran, I Weber, M Staples…",Correction to: Quantifying the Cost of Distrust: Comparing Blockchain and Cloud Services for Business Process Execution,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,"A Meironke, T Seyffarth, J Damarowsky",Business Process Compliance and Blockchain: How Does the Ethereum Blockchain Address Challenges in the Field of Business Process Compliance?,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,F Pasqua,A simulation-based and data-driven framework for enabling the analysis and design of business processes based on blockchain and smart contracts solutions,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,"S Ushnish, K Henry",BUSINESS PROCESS TRANSFORMATION IN NATURAL RESOURCES DEVELOPMENT USING BLOCKCHAIN: INDIGENOUS ENTREPRENEURSHIP …,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,G Meroni,Trusted artifact-driven monitoring of business processes using blockchains,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,R Collet,Smart Contracts: The Use of the Blockchain Technology in Trade Finance: What would be the impact of the Blockchain's implementation regarding the handling of …,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,C Prybila,""" Runtime Verification for Business Processes utilizing the Blockchain""; Betreuer/in (nen): S. Schulte; Institute of Information Systems, Distributed Systems Group, 2016; …",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,S Waller,Blockchains–achieving consensus in oil and gas business processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,"V dem Studium, I Studium, N dem Studium",Blockchain Technology in BPM (Wintersemester 2018/2019),,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,,"V dem Studium, I Studium, N dem Studium",Process Choreographies on the Blockchain (Sommersemester 2019),,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"V Ivković, I Luković",An Approach to Validation of Business-Oriented Smart Contracts Based on Process Mining,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2022,"YI Koh, SH Han, J Park",A systematic process for generating new blockchain-service business model ideas,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"SB Rane, SV Thakker",Green procurement process model based on blockchain–IoT integrated architecture for a sustainable business,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,C Schaubmeier,"Blockchain and Business Model Innovation: An analysis of opportunities and the innovation process/submitted by Christian Schaubmeier, BSc",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,MDE,,,,,,,,,Direct,Run Time,,,Adaptation,Naive Routing,,,,,,Assertion,,,,,,,,,
,,,,,,,,,Manual,,,,,,,,,Role-based,Instantiation,,,Evolution,Data-Based Routing,,,,,,Case Study,,,,,,,,,
,,,,,,,,,,,,,,,,,,Dynamic,Run Time,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,From Snowballing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,30,klingerBlockchainbasedCrossOrganizationalExecution2020,2020,"P Klinger, F Bodendorf",Blockchain-based Cross-Organizational Execution Framework for Dynamic Integration of Process Collaborations,Blockchain-based Cross-Organizational Execution Framework for Dynamic Integration of Process Collaborations,,Klinger et al.,MDE,Ethereum Smart Contract,BPMN Collaboration diagram,Unclear,TRUE,FALSE,FALSE,FALSE,FALSE,Role-based,Run Time,Unclear,TRUE,,Naive Routing,FALSE,FALSE,TRUE,FALSE,FALSE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,They include a voting based deployment protocol. The vote also includes agreement on the distribution of deployment cost.,TRUE
TRUE,31,sturmLeanArchitectureBlockchain2018,2018,"C Sturm, J Szalanczi, S Schönig, S Jablonski",A Lean Architecture for Blockchain Based Decentralized Process Execution ,A Lean Architecture for Blockchain Based Decentralized Process Execution ,,Sturm et al.,MDE,Ethereum Smart Contract,BPMN Process diagram,"Task, +, O",FALSE,FALSE,FALSE,FALSE,FALSE,Direct,Design Time,,TRUE,,Naive Routing,FALSE,FALSE,TRUE,FALSE,FALSE,Case Study,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Only the interreter smart contract is open sourced.,TRUE
TRUE,32,falaziProcessbasedCompositionPermissioned2019,2019,"G Falazi, M Hahn, U Breitenbücher, F Leymann, V Yussupov",Process-Based Composition of Permissioned and Permissionless Blockchain Smart Contracts,Process-Based Composition of Permissioned and Permissionless Blockchain Smart Contracts,,,Manual,"Ethereum Smart Contract, Hyperledger Chaincode, Bitcoin Transaction",BPMN Process diagram,Task,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,TRUE,TRUE,FALSE,FALSE,Case Study,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Allows to model a blockchain task, which is run on the blockchain, this could be integrated into existing BPMS software and they show a demo with Camunda in their open source release. Consequently, there is no control flow enforcement, however, the task can enforce payments. Execution and Execution Trace of the singular tasks are captured. Group this together with ""Modeling and execution of blockchain-aware business processes"", which is the foundational paper focused on the modelling aspect.",TRUE
FALSE,,,,,An Architecture for Multi-chain Business Process Choreographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,33,sturmBlockchainbasedResourceawareProcess2019,2019,"C Sturm, J Scalanczi, S Schönig, S Jablonski ",A Blockchain-based and resource-aware process execution engine,A Blockchain-based and resource-aware process execution engine,,Sturm et al.,MDE,Ethereum Smart Contract,BPMN Collaboration diagram,"Task, +, O, X",FALSE,FALSE,FALSE,FALSE,FALSE,Role-based,Run Time,,TRUE,,Naive Routing,FALSE,FALSE,TRUE,FALSE,FALSE,Case Study,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"Claims that it supports XOR, but their XOR implementation does not conform to the standard, they do not implement the token game, and a taken XOR edge does not deactivate the other. The open source repository does only cover a partial part of the artifact presented. Finality only on a local private Ethereum instance with no information on the configuration of the network.",TRUE
TRUE,34,abidModellingExecutingTimeAware2020,2020,"Amal Abid, Saoussen Cheikhrouhou, Mohamed Jmaiel",Modelling and Executing Time-Aware Processes in Trustless Blockchain Environment,Modelling and Executing Time-Aware Processes in Trustless Blockchain Environment,https://doi.org/10.1007/978-3-030-41568-6_21,Caterpillar,MDE,Ethereum Smart Contract,BPMN Process diagram,"Swimlane, Task, User, Script, Service Task, Parallel and Sequential, X, +, Event-based, Message and Signal Events, Throwing and Catching, Boundary interrupting and noninterrupting, temporal constraints",TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,,Data-Based Routing,TRUE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Extension of Caterpillar to express temporal constraints based on the block timestamp.Evaluation by feasability.,TRUE
TRUE,35,osterlandImplementationBusinessProcess2020,2020,"T Osterland, T Rose, C Putschli",On the Implementation of Business Process Logic in DLT Nodes,On the Implementation of Business Process Logic in DLT Nodes,10.1145/3399871.3399899,,MDE,Custom Proof-of-Work Chain,Undescribed workflow model,,TRUE,FALSE,FALSE,FALSE,FALSE,Direct,Design Time,,TRUE,,Naive Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Does not support splitting and merging the process flow,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Count,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
